                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0499,                 0.9185,                0.85966,                0.72162,                0.58571,                0.64942,                0.20641,                 2.4859,                 1.2976,                 0.9392,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0699,                0.95604,                0.87989,                0.67576,                0.62857,                0.60553,                0.19013,                 2.5244,                 1.0495,                0.94484,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0125,                0.90996,                0.85011,                0.74322,                0.64286,                0.63318,                0.20862,                 2.3573,                0.98486,                0.92988,               0.001307,               0.001307,               0.001307
                     38,                 2.0723,                0.94964,                0.85432,                0.67631,                    0.6,                0.59816,                0.17675,                 2.6477,                  1.261,                0.94991,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.995,                0.88471,                0.85728,                 0.6513,                0.64042,                  0.639,                0.19535,                 2.5235,                 1.1162,                0.94097,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9855,                0.88924,                0.85342,                0.78026,                0.65714,                0.69832,                0.22829,                 2.4287,                 1.2032,                0.93224,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0284,                0.93139,                0.86672,                 0.7476,                0.64286,                0.62135,                0.17445,                  2.767,                 1.0882,                 0.9578,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.9473,                0.86178,                0.85665,                0.57257,                    0.4,                0.39891,                0.11151,                 2.8144,                 1.3086,                0.98939,               0.001208,               0.001208,               0.001208
                     43,                 1.9909,                0.91495,                0.84888,                0.50291,                0.44286,                0.34959,                0.09571,                 2.8352,                 1.3531,                0.98427,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8888,                 0.8655,                0.85849,                0.70746,                0.62192,                0.63534,                0.20565,                 2.6223,                 1.0178,                 0.9492,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.9607,                0.86602,                0.85805,                0.69714,                0.69059,                 0.6713,                 0.2212,                 2.4638,                0.95414,                0.92739,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8858,                0.84392,                0.86158,                0.63466,                0.64286,                0.61346,                0.21437,                 2.4341,                 1.0696,                0.93032,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9638,                 0.8629,                0.84966,                0.61482,                0.52451,                0.56414,                0.16014,                  2.781,                 1.3381,                0.95517,               0.001109,               0.001109,               0.001109
                     48,                 1.9474,                0.85173,                0.84738,                0.78603,                0.72857,                0.76665,                0.25006,                  2.374,                 1.2935,                0.92826,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8668,                0.81404,                0.84239,                0.62524,                0.58571,                0.59093,                0.21436,                 2.4524,                 1.0243,                0.92911,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8915,                0.80674,                0.85318,                0.68724,                0.62783,                0.65076,                0.20592,                 2.6226,                  0.989,                0.94721,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8198,                0.77862,                0.84392,                0.52481,                0.47334,                0.40978,                0.10954,                 2.8614,                 1.2168,                0.97097,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.9139,                0.81095,                0.84683,                0.79458,                0.67143,                0.74411,                0.24828,                 2.3714,                0.97938,                 0.9327,                0.00101,                0.00101,                0.00101
                     53,                 1.8615,                0.83512,                0.84943,                0.62365,                0.38571,                0.40755,                0.11412,                 2.9798,                  1.226,                0.98461,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8037,                0.81534,                0.83223,                0.82671,                    0.8,                0.79158,                0.26229,                 2.2959,                0.93816,                 0.9356,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8444,                0.80575,                 0.8462,                0.71395,                0.72857,                0.72286,                0.20558,                 2.4569,                 1.0127,                0.94399,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7273,                0.77738,                0.83424,                0.76056,                0.71429,                0.67732,                0.21701,                  2.473,                 1.0275,                0.94242,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8146,                0.75723,                0.83513,                 0.7416,                0.69704,                0.64682,                0.20525,                  2.576,                 1.0442,                0.95318,               0.000911,               0.000911,               0.000911
                     58,                 1.8435,                0.78856,                0.84606,                 0.5866,                0.68571,                0.62669,                  0.194,                 2.5094,                  1.085,                0.94327,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.7811,                0.77189,                0.83905,                 0.7516,                0.62857,                0.68492,                0.23239,                 2.6071,                 1.0899,                0.94996,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7502,                0.75342,                0.83641,                 0.6857,                    0.7,                0.66236,                0.22177,                 2.5333,                 1.1088,                0.95005,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7203,                0.77165,                0.82795,                0.69329,                 0.7427,                0.71678,                0.24389,                 2.5517,                0.95203,                0.93581,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.7163,                0.75525,                0.83928,                0.83139,                0.65714,                 0.7637,                0.23451,                 2.4296,                0.94791,                0.93679,               0.000812,               0.000812,               0.000812
                     63,                 1.7805,                0.79871,                0.84142,                0.59695,                0.57143,                0.51954,                0.15468,                  2.638,                 1.1783,                0.95705,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.7968,                 0.7727,                0.84541,                0.67819,                0.61429,                0.53302,                0.14533,                 2.8228,                 1.0944,                0.96795,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.7416,                0.75984,                0.83293,                0.71238,                0.67229,                 0.7299,                0.23004,                 2.4788,                0.99804,                0.93975,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.7595,                0.73547,                0.82942,                0.71153,                0.59903,                0.63073,                0.18589,                 2.6422,                 1.0838,                0.94674,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6923,                0.72755,                0.83901,                0.73263,                0.62634,                 0.6552,                0.21276,                 2.6504,                 1.1679,                0.93846,               0.000713,               0.000713,               0.000713
