                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2376,                 1.0776,                0.87609,                0.76847,                0.62857,                0.72136,                0.22909,                 2.5252,                  1.435,                0.94131,              0.0017822,              0.0017822,              0.0017822
                     36,                 2.2261,                  1.088,                0.89418,                0.79035,                0.35714,                0.45762,                0.16272,                 2.4867,                  1.799,                0.94421,              0.0017756,              0.0017756,              0.0017756
                     37,                 2.2487,                 1.0873,                0.86869,                0.87232,                0.68571,                0.75995,                0.29507,                 2.1949,                 1.2737,                0.91628,               0.001769,               0.001769,               0.001769
                     38,                 2.2293,                 1.0758,                 0.8697,                0.43966,                0.74286,                 0.5135,                0.17712,                 2.3812,                 1.8282,                0.93136,              0.0017624,              0.0017624,              0.0017624
                     39,                 2.2141,                 1.0675,                0.87866,                0.72773,                0.67143,                0.71618,                0.24281,                 2.1822,                 1.2024,                0.92573,              0.0017558,              0.0017558,              0.0017558
                     40,                 2.2271,                 1.0803,                 0.8766,                0.78779,                0.62857,                 0.6709,                0.22999,                 2.2753,                 1.2066,                0.92852,              0.0017492,              0.0017492,              0.0017492
                     41,                 2.2635,                  1.109,                0.88524,                0.65606,                0.62857,                0.60597,                0.19686,                 2.4426,                 1.3793,                0.94485,              0.0017426,              0.0017426,              0.0017426
                     42,                 2.1868,                 1.0863,                0.87414,                0.80416,                0.65714,                0.73592,                0.23835,                 2.4154,                 1.2131,                0.94389,               0.001736,               0.001736,               0.001736
                     43,                 2.2286,                 1.0874,                0.87113,                 0.6593,                    0.6,                0.56903,                0.18117,                 2.5609,                 1.1334,                0.95707,              0.0017294,              0.0017294,              0.0017294
                     44,                 2.1294,                 1.0272,                0.87716,                0.73605,                0.74286,                0.71744,                0.24954,                 2.3375,                  1.201,                0.94215,              0.0017228,              0.0017228,              0.0017228
                     45,                 2.1725,                 1.0393,                0.87453,                0.78457,                0.72839,                0.78055,                0.26936,                 2.3143,                 1.1453,                0.92281,              0.0017162,              0.0017162,              0.0017162
                     46,                 2.1084,                 1.0379,                0.87969,                0.78053,                0.62857,                0.65309,                0.21738,                 2.4397,                0.97706,                0.92902,              0.0017096,              0.0017096,              0.0017096
                     47,                 2.1819,                  1.084,                 0.8643,                0.83743,                0.65714,                0.67353,                0.23551,                 2.4018,                  1.111,                0.93659,               0.001703,               0.001703,               0.001703
                     48,                 2.1484,                 1.0736,                0.86068,                0.87036,                    0.7,                0.77843,                 0.2684,                 2.2896,                  1.121,                0.92413,              0.0016964,              0.0016964,              0.0016964
                     49,                 2.2104,                 1.0564,                 0.8701,                0.79922,                0.52857,                0.61349,                0.17062,                 2.6142,                  1.137,                 0.9469,              0.0016898,              0.0016898,              0.0016898
                     50,                 2.1037,                 1.0052,                0.87665,                0.69335,                0.67143,                0.64551,                0.22449,                 2.4604,                 1.0225,                0.93459,              0.0016832,              0.0016832,              0.0016832
                     51,                 2.0712,                 1.0001,                0.86999,                0.71766,                    0.7,                 0.6867,                0.21042,                 2.6072,                 1.2021,                0.93833,              0.0016766,              0.0016766,              0.0016766
                     52,                 2.2307,                 1.0126,                0.87317,                0.68668,                0.65714,                0.69457,                0.23867,                 2.2802,                 1.0221,                0.92018,                0.00167,                0.00167,                0.00167
                     53,                 2.1026,                0.99325,                0.87174,                0.73479,                0.74286,                0.78231,                0.26691,                 2.3023,                 1.0238,                0.92431,              0.0016634,              0.0016634,              0.0016634
                     54,                 2.0968,                0.99432,                0.86033,                0.71609,                0.68462,                0.71712,                0.28147,                 2.4015,                  1.172,                0.93472,              0.0016568,              0.0016568,              0.0016568
                     55,                 2.1094,                 1.0259,                0.86258,                0.68756,                0.72311,                0.70424,                0.22404,                 2.4375,                 1.0728,                0.93966,              0.0016502,              0.0016502,              0.0016502
                     56,                  2.046,                0.97791,                0.85257,                0.81883,                0.64286,                0.70751,                0.25573,                 2.4194,                 1.1609,                0.93404,              0.0016436,              0.0016436,              0.0016436
                     57,                 2.0794,                0.99343,                0.85455,                0.62878,                0.65336,                0.58008,                0.17354,                 2.6767,                 1.3507,                0.96924,               0.001637,               0.001637,               0.001637
                     58,                 2.1014,                 0.9926,                0.86998,                 0.7071,                0.67143,                 0.6488,                0.21839,                 2.3598,                  1.089,                0.94309,              0.0016304,              0.0016304,              0.0016304
                     59,                 2.0743,                0.98038,                 0.8671,                0.73389,                0.77143,                0.76182,                0.25278,                 2.4186,                 1.1146,                0.93149,              0.0016238,              0.0016238,              0.0016238
                     60,                 2.0477,                0.94174,                 0.8589,                0.73303,                0.75714,                0.72324,                0.27798,                 2.2352,                0.96603,                0.92279,              0.0016172,              0.0016172,              0.0016172
                     61,                 2.0652,                0.97031,                0.86003,                0.73913,                0.68813,                0.65114,                0.27401,                 2.2504,                 1.0264,                0.92461,              0.0016106,              0.0016106,              0.0016106
                     62,                 2.0147,                0.92741,                0.86062,                0.67715,                0.68918,                0.71816,                0.23307,                 2.4852,                 1.1936,                0.93877,               0.001604,               0.001604,               0.001604
                     63,                 2.0624,                 1.0054,                0.86529,                0.69833,                0.65714,                0.67318,                0.22097,                 2.4507,                 1.2142,                0.93339,              0.0015974,              0.0015974,              0.0015974
                     64,                 2.0947,                0.96969,                0.86976,                0.78881,                 0.6937,                0.74521,                0.23594,                 2.4353,                 1.2252,                0.94005,              0.0015908,              0.0015908,              0.0015908
                     65,                 2.0408,                0.97721,                0.86109,                0.68868,                0.63207,                0.62508,                0.21807,                 2.4219,                  1.264,                0.93173,              0.0015842,              0.0015842,              0.0015842
                     66,                 2.0378,                0.94736,                0.85148,                0.80351,                 0.7595,                0.80451,                0.28714,                 2.1765,                 1.1095,                0.91689,              0.0015776,              0.0015776,              0.0015776
                     67,                 2.0888,                0.96659,                 0.8652,                0.63938,                0.71429,                0.71329,                0.25538,                 2.4603,                 1.0799,                0.93177,               0.001571,               0.001571,               0.001571
