                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6865,                0.86909,                0.89475,                0.76811,                0.62857,                0.59498,                0.19879,                 2.6878,                  1.172,                 1.1091,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6982,                0.81674,                0.91536,                0.81805,                 0.6423,                0.67078,                0.24116,                 2.4194,                 1.1917,                 1.0719,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6994,                0.85581,                0.90917,                0.89267,                0.72857,                0.82178,                0.23494,                 2.3383,                 1.0811,                 1.0425,               0.001307,               0.001307,               0.001307
                     38,                 1.7333,                0.89086,                0.91533,                 0.7294,                0.64286,                0.60677,                0.20795,                 2.4339,                 1.1509,                 1.0655,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6363,                0.80652,                 0.8944,                0.76755,                0.55714,                0.66254,                0.24765,                 2.4259,                 1.2052,                 1.0427,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6349,                0.83552,                0.89038,                0.79421,                    0.8,                0.80515,                0.26942,                 2.2863,                 1.2149,                 1.0169,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6502,                0.83215,                0.89785,                0.67374,                0.55714,                 0.5768,                0.15355,                 2.8516,                 1.3316,                 1.1558,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6273,                0.81581,                0.90832,                0.78242,                0.68571,                 0.7392,                0.22417,                  2.613,                 1.3153,                 1.0708,               0.001208,               0.001208,               0.001208
                     43,                 1.6601,                0.84194,                0.89659,                0.89331,                0.71773,                0.79739,                0.25999,                 2.5266,                 1.0508,                 1.0522,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6058,                0.77733,                0.90118,                0.76597,                0.64286,                0.68375,                0.20729,                 2.6983,                 1.1252,                 1.0892,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6328,                0.81679,                0.90896,                0.87562,                0.65714,                0.74292,                0.25116,                 2.5909,                 1.2574,                 1.0852,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5745,                0.78261,                0.88763,                0.81904,                 0.7113,                0.72465,                0.25797,                  2.522,                 1.0621,                 1.0617,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5873,                 0.7914,                0.88977,                0.84591,                0.78426,                0.79738,                0.29048,                 2.4761,                  1.015,                 1.0493,               0.001109,               0.001109,               0.001109
                     48,                 1.6098,                0.77406,                0.89442,                 0.7578,                0.68571,                0.67513,                 0.2203,                 2.6212,                  1.019,                 1.0929,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5389,                0.77937,                0.87451,                0.78395,                0.74286,                0.74201,                0.23679,                 2.4626,                 1.0292,                 1.0553,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.527,                 0.7614,                0.89266,                0.81729,                0.72857,                0.75916,                0.26381,                 2.5223,                 1.0626,                 1.0548,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5314,                0.75138,                0.88164,                0.86206,                0.75714,                0.82708,                0.31495,                 2.3869,                0.96914,                 1.0429,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5718,                0.75598,                 0.8841,                0.80637,                    0.8,                0.81925,                0.27755,                 2.3583,                0.95522,                 1.0405,                0.00101,                0.00101,                0.00101
                     53,                 1.5331,                0.77889,                0.87762,                0.79672,                    0.8,                0.80319,                0.26816,                 2.4679,                0.94904,                 1.0539,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5172,                 0.7336,                0.88106,                0.79932,                0.68287,                0.75746,                0.25313,                 2.5375,                0.95149,                 1.0635,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5261,                0.72592,                0.88109,                0.85126,                0.73591,                 0.7522,                0.23495,                 2.5804,                0.99823,                 1.0725,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4639,                0.70794,                0.87826,                0.84612,                0.75714,                0.76652,                 0.2919,                 2.3194,                0.95045,                 1.0184,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5303,                0.71911,                0.89294,                0.74887,                0.74286,                0.71681,                0.23271,                  2.564,                 1.0369,                 1.0699,               0.000911,               0.000911,               0.000911
                     58,                 1.5255,                0.72646,                 0.8845,                0.78358,                    0.7,                0.68706,                0.22271,                  2.694,                 1.0473,                 1.0783,              0.0008912,              0.0008912,              0.0008912
